id,title,subtitle,price,transaction_type,property_type,location_details,municipality,surface,rooms,bedrooms,bathrooms,features,poi,description,url,image_path,images_folder,images_count,scraped_at,last_updated
1217,Appartement Centre ville,Tunisie,600000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,281.3,,,,{},{},"L’agence CENTURY 21 Alliance vous propose à la vente un appartement de 280m² à Tunis Centre ville. Situé au 2ème étage d’un immeuble colonial, ce bien offre de belles possibilités de rénovation. *Composition: – Sept pièces – Cinq chambres – Une salle de bain – Une salle d’eau *Caractéristiques – Les chambres sont avec une cheminée – Proximité de tout les commerces et les transports L’agence CENTURY 21 Alliance est à votre disposition pour plus d’informations, veuillez nous contacter sur le : Téléphone: 216 28 818 635 /216 26 166 167.",https://www.mubawab.tn/fr/a/8305014/appartement-centre-ville,media\apartment\62\image_001.jpg,media\apartment\62,1,2026-02-18 09:29:53.109577,Unknown
1218,A vendre une maison indépendante à Hammam Sousse,Tunisie,30000,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,,,,{},{},,https://www.mubawab.tn/fr/a/8285853/a-vendre-une-maison-ind%C3%A9pendante-%C3%A0-hammam-sousse,media\house\935\image_001.jpg,media\house\935,1,2026-02-18 20:04:00.076263,Unknown
1219,S1 Neuf aux jardins de carthage L'ULTIME,Tunisie,Prix à consulter,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},"Découvrez ce superbe S+1 au sein de la Résidence L’Ultimate, un projet raffiné situé dans un cadre privilégié. Conçu pour offrir confort et modernité, cet appartement se distingue par des espaces optimisés, une luminosité naturelle et des finitions haut de gamme. Caractéristiques : Superficie bien agencée, offrant un cadre de vie fonctionnel et agréable. Salon spacieux et lumineux, avec une ouverture harmonieuse sur l’extérieur. Cuisine équipée, alliant élégance et praticité. Chambre confortable, pensée pour le bien-être et la tranquillité. Salle de bain moderne, avec des équipements de qualité. Matériaux nobles et finitions soignées, garantissant un cadre de vie haut standing. Atouts de la résidence : Architecture contemporaine et design élégant. Sécurité 24h/24 pour une sérénité totale. Espaces communs raffinés et parfaitement entretenus. Emplacement stratégique, offrant proximité avec toutes les commodités essentielles. Idéal pour un investissement ou une résidence principale, ce S+1 incarne l’harmonie entre modernité et confort.",https://www.mubawab.tn/fr/pa/8106973/s1-neuf-aux-jardins-de-carthage-l-ultime,media\apartment\43\image_001.jpg,media\apartment\43,5,2026-02-18 09:26:15.702502,Unknown
1220,Villa à vendre à Alain Savary Tunis,Tunisie,30000,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,403.2,,,,{},{},"Découvrez cette magnifique villa idéalement située sur une avenue commerçante, composée de deux niveaux avec un agréable jardin. Le rez-de-chaussée comprend une entrée accueillante, un grand salon/séjour lumineux, une cuisine fonctionnelle et une salle d’eau. À l’étage, trois chambres, une salle d’eau et une suite parentale avec salle de bain. Avec un terrain de 400 m² et une surface couverte de 360 m², cette villa offre également la possibilité de construire jusqu’à R2. Titre foncier disponible. Une opportunité rare au cœur de Tunis pour un cadre de vie agréable et pratique.  Référence du bien: Ref8900a",https://www.mubawab.tn/fr/a/8305187/villa-%C3%A0-vendre-%C3%A0-alain-savary-tunis,media\house\926\image_001.jpg,media\house\926,8,2026-02-18 16:49:05.453759,Unknown
1221,À vendre S2 dans une résidence avec piscine à Afh mrezga,Tunisie,385000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,1.0,,,{},{},"Cet appartement est situé dans une résidence récemment  construite avec piscine et ascenseur  à Cité El Wafa, Nabeul. Le hall d’entrée dessert un spacieux salon lumineux ouvrant  sur un balcon ainsi qu’une cuisine indépendante  bien agencée et équipée (plaque, hotte, four) ouvre sur séchoir. En avançant dans le couloir on trouve la partie nuit qui couvre deux chambres à coucher et qui se partagent une salle de bain. Le chauffage et la climatisation En Split System sont disponibles .",https://www.mubawab.tn/fr/a/8208718/%C3%A0-vendre-s2-dans-une-r%C3%A9sidence-avec-piscine-%C3%A0-afh-mrezga,media\apartment\232\image_001.jpg,media\apartment\232,8,2026-02-18 10:10:07.958272,Unknown
1222,"Superbe s3 de 201,5 m²aux Jardins de Carthage",Tunisie,980000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,205.8,3.0,,,{},{},"Darcom Tunisia vous propose à la vente un superbe appartement S3 de haut standing, d’une superficie de 201,5 m², très bien orienté, situé dans une résidence sécurisée et gardée aux Jardins de Carthage. Composition du bien : •    Un spacieux salon lumineux ouvrant sur un balcon •    Une cuisine aménagée et entièrement équipée (hotte,plaque, four, micro-ondes et réfrigérateur encastré) avec un séchoir attenant  chambre de service avec rangements •    Une salle d’eau pour les invités •    Des dressings dans le hall pour plus de rangement •    Une première chambre à coucher avec dressing •    Un espace nuit indépendant comprenant •    Une suite parentale avec dressings et salle de douche •    Une chambre à coucher avec dressing et disposant d'un balcon privatif •    Une salle de bain commune Deux places de parking au sous-sol sont incluses.",https://www.mubawab.tn/fr/a/8276869/superbe-s3-de-201-5-m%C2%B2aux-jardins-de-carthage,media\apartment\23\image_001.jpg,media\apartment\23,23,2026-02-18 09:22:01.057912,Unknown
1223,Villa s3 plain pied à Lido à Nabeul,Tunisie,30000,sale,house,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,4.0,,,{},{},,https://www.mubawab.tn/fr/a/8288791/villa-s3-plain-pied-%C3%A0-lido-%C3%A0-nabeul,media\house\943\image_001.jpg,media\house\943,1,2026-02-18 20:04:14.286062,Unknown
1224,Appartement S2 Borj Baccouche,Tunisie,285000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,106.9,3.0,,,{},{},"REF: AVM02050 Perla Immo met en vente ; Un appartement S2 Emplacement: Borj Baccouch En troisième étage avec deux ascenseurs Résidence R5 bien sécurisée Bonne orientation est-sud, bien ensoleillé Description: Un salon lumineux Une cuisine bien équipée avec séchoir La partie nuit comprend deux chambres à coucher avec dressings. Une salle de bain Superficie totale: 105 m² Climatiseur Chauffage central Prix : 285000 dt Parking: sous-sol - Titre individuel - Bati: 2008 Contact: 20338278 ou 98617607 ou 71 717 175",https://www.mubawab.tn/fr/a/8304356/appartement-s2-borj-baccouche,media\apartment\298\image_001.jpg,media\apartment\298,13,2026-02-18 10:59:51.114425,Unknown
1225,Appartement S2 à vendre Hammamet 2 min plage,Tunisie,450000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,76.6,1.0,,,{},{},"Click Dar Immobilier vous propose pour la vente, appartement S2 au 1ér étage d’une résidence gardée situé à Hammamet, 2 min à pied de la plage. Superficie : 75 m² Il se compose de : salon, 02 chambres, Kitchenette, salle de douche et Balcon Chauffage central et climatisation Prix : 450 Md Référence : AN060",https://www.mubawab.tn/fr/a/8290307/appartement-s2-%C3%A0-vendre-hammamet-2-min-plage,media\apartment\184\image_001.jpg,media\apartment\184,7,2026-02-18 09:58:42.343077,Unknown
1226,S3 en vente,Tunisie,940000 TND,sale,apartment,"{""raw"": ""Tunisie"", ""city"": ""Tunisie"", ""zone"": ""grand_tunis"", ""district"": """", ""municipality"": ""Tunisie""}",Tunisie,,2.0,,,{},{},"Offrez-vous un cadre de vie élégant au cœur des Jardins de Carthage avec cet appartement S3 direct promoteur, situé au 1er étage d’une résidence moderne en R3. Lumineux et bien agencé, il dispose d’un salon ouvrant sur un balcon, d’une cuisine entièrement équipée (plaque, four, hotte et lave-vaisselle) et d’une partie nuit totalement indépendante comprenant une suite parentale avec dressing et douche à l’italienne, ainsi que deux chambres à coucher dont une avec balcon.L’appartement bénéficie d’une place de parking au sous-sol, de la climatisation, du chauffage central et d’un vidéophone, offrant confort et qualité de vie dans l’un des quartiers les plus prisés de Tunis.",https://www.mubawab.tn/fr/a/8294488/s3-en-vente,media\apartment\113\image_001.jpg,media\apartment\113,11,2026-02-18 09:41:23.449303,Unknown
